jerseyNumber,name
3,Laura McManimen
4,Ajah Alexander
10,Megan Wheeler
11,Whitney Hopson
12,Kristina Harrel
15,Molly Hassell
20,Victoria Maxwell
21,Kayla Kinsler
23,Ayanna Scarborough
24,Allison Livengood
25,Jayla Faison
30,Renee Alquiza
32,Mariah Carter
33,Jessica Louros
35,Corinne McPadden
